id_tanaman,nama_daun,harga,butuh,satuan,nama_toko,url
14,Daun Kelor Fresh,6000,150,gram,Blonjoesayur,https://shopee.co.id/DAUN-KELOR-FRESH-i.25517717.11231249035?sp_atk=ccde7a66-481d-4563-bd31-b0d94fabca5c
14,Daun Kelor Segar Fresh Petik,10000,250,gram,Herherbal165,https://shopee.co.id/Daun-kelor-segar-fresh-petik-i.214330417.15635207821?sp_atk=d893ccbe-d1d2-473a-b21e-06778fb320c7
14,Daun Kelor,10500,100,gram,VeggieTall,https://shopee.co.id/Daun-Kelor-100gr-500gr-i.257674084.7940212405?sp_atk=a3440ca9-866d-4f9d-8f5d-76e697bf830d
14,Daun Kelor Segar,19000,500,gram,Deystore123,https://shopee.co.id/DAUN-KELOR-SEGAR-500-GRM-i.327191309.6459080385?sp_atk=d6d16627-7d22-4b31-9a23-783fc1d7f9e2
14,Daun Kelor Segar,10000,250,gram,Psbbstore,https://shopee.co.id/PASAR-GUBENG-Daun-Kelor-segar-i.165485489.4781023784?sp_atk=b24cc9c3-59dc-4d23-bf4d-d81410b13336
14,Daun Kelor Segar Organik,4000,100,gram,Kebunrumahkuu,https://shopee.co.id/Daun-kelor-segar-organik-i.381237387.7579667213?sp_atk=dd603d23-8db4-47a6-85b1-ee699e646844
14,Daun Kelor Segar,29900,400,gram,Taman_William,https://shopee.co.id/DAUN-KELOR-SEGAR-500G-SEGAR-PETIK-DADAKAN-LANGSUNG-DARI-POHON-i.298909946.9742887776?sp_atk=dec42b8e-f2d7-42c8-8819-5933694dc50a
14,Daun Kelor Fresh Quality,8999,150,gram,Toko Tepi,https://shopee.co.id/Daun-Kelor-Segar-150gr-Fresh-Quality-i.244336125.6838659954?sp_atk=7684969a-3d4d-46b7-bb36-ae6ae73100ac
14,Daun Kelor Segar,5000,100,gram,AR_Plants99,https://shopee.co.id/Daun-kelor-segar-100-gram-i.297452278.4961389993?sp_atk=f9d7c978-bd67-4a4b-86cc-8e08023f4ce5
14,Daun Kelor Segar,8500,100,gram,Adi Flora,https://www.tokopedia.com/adiflora/daun-kelor-segar?extParam=ivf%3Dfalse%26src%3Dsearch
14,Daun Kelor Segar,25000,200,gram,Adehikmahshop,https://www.tokopedia.com/ade31/daun-kelor-segar-langsung-petik-kirim?extParam=ivf%3Dfalse%26src%3Dsearch
14,Daun Kelor Segar,5000,50,gram,Padasuka Mart ID,https://www.tokopedia.com/pm-id/daun-kelor-segar?extParam=ivf%3Dfalse%26src%3Dsearch
14,Daun Kelor Segar Langsung petik,11000,120,gram,Kebun Herbal Organik,https://www.tokopedia.com/kebunherba/promo-daun-kelor-segar-langsung-petik?extParam=ivf%3Dfalse%26src%3Dsearch
14,Daun Kelor Segar ,15000,250,gram,Ark Herdis,https://www.tokopedia.com/arkherdis/daun-kelor-segar-di-petik-setelah-ada-order-masuk?extParam=ivf%3Dfalse%26src%3Dsearch
14,Daun Kelor Segar,9000,100,gram,Sakura Herbal Alami,https://www.tokopedia.com/sakuraherbal12/daun-kelor-segar-anti-kanker-dan-stres?extParam=ivf%3Dfalse%26src%3Dsearch
14,Daun Kelor Segar,7500,500,gram,Green Flowers Store,https://www.tokopedia.com/green-flowers-store/daun-kelor-segar-di-jual-per-100-gram?extParam=ivf%3Dfalse%26src%3Dsearch
14,Daun Kelor Segar Alami ,5000,150,gram,Alvindo Takan Ternak,https://www.tokopedia.com/alvindopakan/daun-kelor-segar-alami-dipetik-saat-order-sayuran-herbal-grab-gojek?extParam=ivf%3Dfalse%26src%3Dsearch
14,Daun Kelor Segar Fresh,13500,100,gram,Herbal Jaksel,https://www.tokopedia.com/jaksels/daun-kelor-segar-fresh-bahan-herbal?extParam=ivf%3Dfalse%26src%3Dsearch
14,Daun Kelor Segar Alami ,10000,100,gram,Dientoko,https://www.tokopedia.com/dientoko-1/daun-kelor-segar-alami-100-gram-100-gram?extParam=ivf%3Dfalse%26src%3Dsearch
14,Daun Kelor Segar,12000,100,gram,Toko Naraya Herbal,https://www.tokopedia.com/narayaherbal/daun-kelor-segar-anti-kanker-dan-stres?extParam=ivf%3Dfalse%26src%3Dsearch
14,Daun Kelor Segar Petik,20000,300,gram,Usaha dan Doa,https://www.tokopedia.com/usahadan/daun-kelor-segar-petik-kirim?extParam=ivf%3Dfalse%26src%3Dsearch
16,Daun Sirih Cina Segar,15000,500,gram,Sitishopp,https://shopee.co.id/product/25217775/10069974879
